,id,master_id,year,artists,title,labels,styles,master_url,formats,rym_url,rating_value,rating_count
0,1514057,106257,,"[('Billy Preston', 'https://api.discogs.com/artists/46767')]",Will It Go Round In Circles / Blackbird,"[('1411', 'A&M Records', 'https://api.discogs.com/labels/904')]",['Soul'],https://api.discogs.com/masters/106257,"['7""', '45 RPM']",https://rateyourmusic.com/release/single/billy-preston/will-it-go-round-in-circles-blackbird/reviews/2/,3.60,128
1,12762848,138884,,"[('Herb Alpert', 'https://api.discogs.com/artists/35022')]",Rise,"[('2151-S', 'A&M Records', 'https://api.discogs.com/labels/904')]",['Disco'],https://api.discogs.com/masters/138884,"['7""', '45 RPM', 'Single']",,,
2,5944297,67317,,"[('Procol Harum', 'https://api.discogs.com/artists/254414')]",A Salty Dog,"[('SP 4179', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Psychedelic Rock', 'Prog Rock']",https://api.discogs.com/masters/67317,"['LP', 'Album']",https://rateyourmusic.com/release/album/procol-harum/a-salty-dog-3/,3.69,1657
3,10280674,290868,,"[('Chuck Mangione', 'https://api.discogs.com/artists/92051')]",Fun And Games,"[('SP-3715', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Easy Listening', 'Jazz-Rock']",https://api.discogs.com/masters/290868,"['LP', 'Album']",https://rateyourmusic.com/release/album/chuck-mangione/fun-and-games/,2.90,52
4,12029165,67327,,"[('Procol Harum', 'https://api.discogs.com/artists/254414')]",Live - In Concert With The Edmonton Symphony Orchestra,"[('SP-4335', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Prog Rock', 'Classic Rock']",https://api.discogs.com/masters/67327,"['LP', 'Album']",https://rateyourmusic.com/release/album/procol-harum/live-in-concert-with-the-edmonton-symphony-orchestra-1/,3.87,618
5,8428141,62389,,"[('Chuck Mangione', 'https://api.discogs.com/artists/92051')]",Feels So Good,"[('SP-4658', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Smooth Jazz', 'Contemporary Jazz', 'Soul-Jazz']",https://api.discogs.com/masters/62389,"['LP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/chuck-mangione/feels-so-good/lists/2/,3.36,277
6,12857890,211348,,"[('Chuck Mangione', 'https://api.discogs.com/artists/92051')]",Tarantella,"[('SP-6513', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Smooth Jazz', 'Contemporary Jazz']",https://api.discogs.com/masters/211348,"['LP', 'Album']",https://rateyourmusic.com/release/album/chuck-mangione/tarantella/,3.65,15
7,622980,62408,,"[('Chuck Mangione', 'https://api.discogs.com/artists/92051')]",Children Of Sanchez,"[('SP-6700', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Soundtrack', 'Fusion', 'Smooth Jazz', 'Latin Jazz']",https://api.discogs.com/masters/62408,"['LP', 'Album']",https://rateyourmusic.com/release/album/chuck-mangione/children-of-sanchez/,3.61,165
8,12857859,221847,,"[('Chuck Mangione', 'https://api.discogs.com/artists/92051')]",An Evening Of Magic - Live At The Hollywood Bowl,"[('SP-6701', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Contemporary Jazz', 'Easy Listening', 'Smooth Jazz']",https://api.discogs.com/masters/221847,"['LP', 'Album']",,,
9,622823,338480,,"[('Procol Harum', 'https://api.discogs.com/artists/254414')]",A Salty Dog / Conquistador,"[('AM-1347-S', 'A&M Records', 'https://api.discogs.com/labels/904'), ('AM 1347', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Pop Rock', 'Classic Rock']",https://api.discogs.com/masters/338480,"['7""', '45 RPM']",,,
10,9520688,67319,,"[('Procol Harum', 'https://api.discogs.com/artists/254414')]",Home,"[('SP-4261', 'A&M Records', 'https://api.discogs.com/labels/904'), ('SP-4421', 'A&M Records', 'https://api.discogs.com/labels/904')]","['Psychedelic Rock', 'Prog Rock']",https://api.discogs.com/masters/67319,"['LP', 'Album']",https://rateyourmusic.com/release/album/procol-harum/home/lists/3/,3.62,789
11,11022373,47534,,"[('The Crusaders', 'https://api.discogs.com/artists/60450')]",Free As The Wind,"[('BT-6029', 'ABC Blue Thumb', 'https://api.discogs.com/labels/1058471')]",['Jazz-Funk'],https://api.discogs.com/masters/47534,"['LP', 'Album']",https://rateyourmusic.com/release/album/the_crusaders/free_as_the_wind/,3.52,122
